test_id	gene_id	gene	locus	sample_2	value_2
XLOC_000001	XLOC_000001	DDX11L1	1:11868-31109	Tumor	1.24261
XLOC_000002	XLOC_000002	RP11-34P13.3,hsa-mir-1302-2	1:11868-31109	Tumor	1.52284
XLOC_000003	XLOC_000003	OR4G11P	1:62947-63887	Tumor	0
XLOC_000004	XLOC_000004	OR4F5	1:65881-70008	Tumor	0.374013
XLOC_000005	XLOC_000005	RP11-34P13.10	1:89294-133923	Tumor	0.164006
XLOC_000006	XLOC_000006	RP11-34P13.9	1:160445-161525	Tumor	0.462007
XLOC_000007	XLOC_000007	RP4-669L17.10,RP4-669L17.11,RP4-669L17.8	1:317810-328455	Tumor	4.02632
XLOC_000008	XLOC_000008	RP4-669L17.4	1:329425-461954	Tumor	0.896177
XLOC_000009	XLOC_000009	OR4F29	1:329425-461954	Tumor	0.376414
XLOC_000010	XLOC_000010	RP5-857K21.15	1:329425-461954	Tumor	0
XLOC_000011	XLOC_000011	RP4-669L17.1	1:470906-471368	Tumor	0.14858
XLOC_000012	XLOC_000012	RP5-857K21.2,RP5-857K21.3	1:521368-532878	Tumor	0.335518
XLOC_000013	XLOC_000013	MTND1P23	1:536815-660287	Tumor	1398.28
XLOC_000014	XLOC_000014	AC114498.2	1:536815-660287	Tumor	3929.02
XLOC_000015	XLOC_000015	MTND2P28	1:536815-660287	Tumor	1014.63
XLOC_000016	XLOC_000016	RP5-857K21.6	1:536815-660287	Tumor	1521.48
XLOC_000017	XLOC_000017	AC114498.1	1:536815-660287	Tumor	102.183
XLOC_000018	XLOC_000018	RP5-857K21.7	1:536815-660287	Tumor	1306.02
XLOC_000019	XLOC_000019	AC114498.6	1:536815-660287	Tumor	175.653
XLOC_000020	XLOC_000020	RP5-857K21.10,RP5-857K21.11,RP5-857K21.14	1:536815-660287	Tumor	5781.31
XLOC_000021	XLOC_000021	RP5-857K21.12	1:536815-660287	Tumor	0
XLOC_000022	XLOC_000022	CICP3	1:536815-660287	Tumor	0.0339717
XLOC_000023	XLOC_000023	RP11-206L10.4	1:694411-714006	Tumor	0.557771
XLOC_000024	XLOC_000024	RP11-206L10.6,RP11-206L10.7,RP11-206L10.9	1:714161-755214	Tumor	12.2295
XLOC_000025	XLOC_000025	AL669831.1	1:714161-755214	Tumor	1.04963
XLOC_000026	XLOC_000026	FAM87B	1:714161-755214	Tumor	0.37257
XLOC_000027	XLOC_000027	RP11-206L10.11	1:762987-789791	Tumor	2.42627
